Date,Open,High,Low,Close,AdjClose,Volume
6/1/1997,0.075521,0.085417,0.06875,0.077083,0.08,1063272000
7/1/1997,0.077083,0.128646,0.075521,0.119792,0.12,2172288000
8/1/1997,0.117188,0.120833,0.096875,0.116927,0.12,638136000
9/1/1997,0.117188,0.240625,0.115625,0.216927,0.22,2157240000
10/1/1997,0.221875,0.275,0.176042,0.254167,0.25,2103744000
11/1/1997,0.260938,0.260938,0.183333,0.20625,0.21,1355952000
12/1/1997,0.211979,0.252083,0.206771,0.251042,0.25,1299648000
1/1/1998,0.25,0.267188,0.207292,0.245833,0.25,2241600000
2/1/1998,0.247396,0.331771,0.238542,0.320833,0.32,2612424000
3/1/1998,0.316146,0.367708,0.291667,0.35638,0.36,4136376000
4/1/1998,0.355208,0.416667,0.321354,0.382292,0.38,7097376000
5/1/1998,0.386458,0.399479,0.332292,0.367188,0.37,3497400000
6/1/1998,0.366667,0.872917,0.34375,0.83125,0.83,11677572000
7/1/1998,0.848438,1.225,0.785417,0.923958,0.92,13278936000
8/1/1998,0.914583,1.145833,0.692708,0.697917,0.70,8812152000
9/1/1998,0.634375,1,0.541667,0.930208,0.93,13556712000
10/1/1998,0.9,1.081771,0.666667,1.053646,1.05,10088892000
11/1/1998,1.067708,1.942708,1.00625,1.6,1.60,13035792000
12/1/1998,1.545833,3.015625,1.516667,2.677083,2.68,14484360000
1/1/1999,2.730729,4.978125,2.314063,2.923438,2.92,12926976000
2/1/1999,2.94375,3.25,2.10625,3.203125,3.20,6362920000
3/1/1999,3.175,4.45,2.85,4.304688,4.30,6620200000
4/1/1999,4.484375,5.53125,3.775,4.301563,4.30,7265708000
5/1/1999,4.171875,4.176563,2.6125,2.96875,2.97,6075356000
6/1/1999,2.7875,3.2375,2.24375,3.128125,3.13,7294948000
7/1/1999,3.13125,3.5625,2.4375,2.501563,2.50,7773008000
8/1/1999,2.459375,3.389063,2.05,3.109375,3.11,9181716000
9/1/1999,3.175,4.25,2.86875,3.996875,4.00,6432336000
10/1/1999,3.85,4.5,3.29375,3.53125,3.53,5086230000
11/1/1999,3.403125,4.84375,3.05,4.253125,4.25,5621404000
12/1/1999,4.3625,5.65,3.8,3.80625,3.81,4929522000
1/1/2000,4.075,4.575,2.921875,3.228125,3.23,5244180000
2/1/2000,3.375,4.296875,3.153125,3.44375,3.44,4149154000
3/1/2000,3.38125,3.7625,3,3.35,3.35,3131692000
